,Star Temperature [K],Planet Temperature [K],Planet Radius [Rjup],Total Observation Time [days]
1967,6355.82,1860.698453,1.566745045,7.266
1968,5880.0,1220.239674,0.536860105,5.160875000000001
1969,9124.0,4024.542617,1.833980884,2.9627499999999998
1970,3973.0,466.1140392,0.207271857,35.194500000000005
1971,5281.02,1595.924427,2.215973697,5.81625
1972,5778.45,821.7645881,1.13172906,29.509375
1973,7642.0,1716.591968,0.845187108,4.904249999999999
1974,6224.0,1758.469369,0.195410394,35.88
1975,5296.38,988.6206737,0.886803333,5.8600084500000005
1976,5447.0,1522.480478,1.3042011,0.752875
1977,5903.0,871.3830009,1.745148037,7.28124075
1978,5643.0,430.8278523,1.613274009,61.949999999999996
1979,5002.0,786.187103,0.20729223,10.78075
1980,4570.0,834.2938605,0.258607455,19.4073193875
1981,5702.0,2995.601923,0.436576712,2.55875
1982,6976.0,2085.452333,1.480832898,2.410375
1983,5943.0,1654.112064,1.262345362,3.315
1984,5718.0,962.931928,0.398529194,27.755249999999997
1985,6353.0,1826.329866,1.696676427,3.29925
1986,8076.0,2409.716983,1.679294613,1.414
1987,6263.0,910.2332375,0.589726666,72.92999999999999
1988,6728.0,1604.38245,1.20050334,12.6845
1989,8032.0,2363.376065,1.513118314,2.293125
1990,6121.69,1617.155055,1.569101094,7.008000000000001
1991,5469.0,668.063875,0.466524072,52.24275
1992,6124.0,1744.275062,1.203884509,3.1110000000000007
1993,6589.0,2601.36761,1.40866729,2.433
1994,5972.0,1907.777314,1.656407339,16.1275
1995,5900.0,1393.246859,1.308245294,1.6552499999999999
1996,5569.0,1314.518091,1.090935344,3.5429999999999993
1997,5840.82,1817.762356,1.281742015,18.822375
1998,6029.04,1952.061447,1.296595522,3.5988749999999996
1999,6095.0,1973.472961,1.594430086,5.7638750000000005
2000,8104.0,1583.496951,1.339161303,35.0625
2001,6228.0,1891.345904,1.403139152,14.033875000000002
2002,5707.0,955.1380435,1.639269752,2.7279999999999998
2003,5864.0,1468.544554,0.87326385,9.622125
2004,6212.0,1712.666383,1.270197916,5.69625
2005,6188.0,1378.344021,1.238664731,21.546
2006,6002.0,1684.36892,1.634027134,1.6257499999999998
2007,7349.0,2192.400365,1.571001185,6.45125
2008,5506.0,1328.386542,1.13186747,7.39725
2009,5074.0,1238.189412,1.065056455,3.0387500000000003
2010,5995.0,2334.961373,1.591180333,1.4745000000000001
2011,5929.0,1452.102756,1.046540544,38.772124999999996
2012,6400.0,1096.229458,0.372452646,44.12699531249999
2013,6815.0,1853.176847,1.948230154,2.222
2014,6756.0,2032.261819,1.384214196,2.393
2015,6369.0,1347.341485,1.333240185,40.4525
2016,5646.0,1809.983806,1.33894464,5.313000000000001
2017,5873.97,1750.155831,1.232759292,6.01
2018,5990.0,2361.727958,1.295295235,12.091249999999999
2019,6071.0,1454.964031,1.205805767,3.89625
2020,5686.0,1241.147168,1.001077116,7.862374999999999
2021,5950.0,1722.024594,1.93573765,2.201
2022,6812.0,1859.553419,1.926833542,1.3587500000000001
2023,8524.0,2783.460892,0.904551874,10.966999999999999
2024,7529.0,3469.151876,1.635768825,2.24175
2025,6358.0,1519.082865,0.43699941,34.86
2026,5930.0,1474.617478,0.903245703,35.168
2027,5766.0,2438.412637,1.2881614,4.318124999999999
2028,4076.0,804.0117252,0.988774142,9.5725
2029,6058.0,1659.923617,1.390888934,0.9572499999999999
2030,4780.0,996.719977,1.07951191,3.2062500000000003
2031,5244.0,1182.929905,0.472333264,20.017500000000002
2032,5603.0,1612.150124,0.57580374,6.75
2033,5462.73,1037.360468,0.78688229,26.381
2034,6311.95,1741.518383,1.115741286,10.003499999999999
2035,4219.0,1017.431751,1.118680951,0.9790000000000001
2036,6418.0,1788.950061,1.168016808,11.638250000000001
2037,5921.35,1432.535826,1.132512271,10.977
2038,4031.0,679.4938269,0.379608621,13.26025
2039,5685.09,1245.370213,1.391804193,4.367
2040,4329.8,640.3178413,0.588296904,16.334625000000003
2041,5849.8,2531.287857,1.093669769,4.52525
2042,5801.0,1860.110418,1.775862653,5.223
2043,3580.0,603.4698297,0.317369874,8.000125
2044,6584.3,1421.140262,1.594699598,3.9930000000000003
2045,5790.0,1347.970708,1.606649178,2.4875000000000003
2046,5978.25,1740.348832,1.954683197,5.0687500000000005
2047,5948.0,786.7486133,0.65960519,26.488125000000004
2048,6312.87,1751.592949,0.856590966,10.735
2049,5377.0,1073.127737,1.088265455,3.2697499999999993
2050,6119.83,1860.134221,1.669825879,0.8651249999999999
2051,4666.1,590.571771,0.352669265,45.5670809
2052,6701.04,1532.805818,1.288692293,8.865
2053,4932.0,727.9083937,0.404109855,52.19300000000001
2054,5957.46,1564.229218,1.168003335,6.206250000000001
2055,6093.89,1571.381016,1.611164311,5.259375
2056,4626.0,1950.935348,0.716323506,1.9917500000000001
2057,5439.0,1374.142702,1.310762173,2.184
2058,5938.0,807.1369233,0.889870943,31.815
2059,6287.19,1598.340472,1.318369516,4.696
2060,5946.0,3723.961064,0.74172111,3.549375
2061,6622.0,1812.204156,1.329961336,3.7076886
2062,6257.64,1135.678275,1.102390686,5.57125
2063,6182.0,1866.057305,1.36297223,5.985
2064,6396.0,1942.824651,0.787658868,10.8275
2065,5850.0,1404.38163,1.1632794,6.334249999999999
2066,6577.37,2063.61611,1.317728195,9.93825
2067,5504.0,919.0361711,1.152475084,21.489250000000002
2068,4636.28,1087.406141,0.282790725,30.0884445
2069,6332.0,3846.925969,1.094555515,3.213
2070,6080.29,2143.015326,0.748901813,47.515
2071,6943.0,2503.093863,0.886890404,16.980875
2072,6155.0,1793.563693,0.917972527,8.178
2073,7976.9,2032.61618,1.348874314,4.9
2074,5905.49,1551.558359,1.132986375,26.685499999999998
2075,6350.0,1658.910749,1.386935291,4.1339999999999995
2076,4671.0,1583.545425,1.216840503,0.62
2077,3865.0,959.1348565,1.099459351,0.435288125
2078,6277.0,1122.096828,0.44501134,49.5495
2079,6238.0,1737.110443,1.307483911,3.7352827499999997
2080,5978.0,1580.182453,1.412974938,1.166875
2081,3495.0,602.3420086,0.099627669,3.9125
2082,5441.34,722.9987441,0.456572236,23.0398749
2083,5705.0,704.9280377,0.417695966,45.5625
2084,9333.0,3058.510582,1.205465072,2.469536825
2085,4027.0,892.1916581,0.372834979,16.87125
2086,7575.0,4380.687586,1.533500434,9.109874999999999
2087,6623.0,1920.949499,1.809666617,3.96875
2088,6419.58,3788.711989,0.50772897,5.05325
2089,5981.0,1009.215823,0.506855554,46.8325
2090,7497.0,2202.893585,1.736611829,5.932
2091,3799.0,448.0805735,0.692320938,6.908375
2092,6219.48,1592.456948,1.390164725,3.24
2093,7787.0,2104.331855,1.765863637,9.802000000000001
2094,5663.5,1396.099614,0.746732738,24.38575
2095,6439.0,2859.16927,0.616777354,7.399000000000001
2096,6353.1,1253.941756,0.466147332,25.4835
2097,6042.12,1324.483881,1.330921486,2.3381250000000002
2098,8415.0,2542.885432,1.190875427,15.183999999999997
2099,6045.0,1641.76835,1.554376004,7.053749999999999
2100,5612.0,1642.973086,1.09153413,2.694
2101,9649.0,3482.209359,0.673364473,26.334000000000003
2102,5860.47,1699.440934,0.713990457,8.955375
2103,6540.17,1645.344125,1.654754105,6.4365000000000006
2104,5365.97,1170.837642,0.627508005,7.475624999999999
2105,5534.56,1689.849054,1.175999162,1.9085
2106,6273.77,2835.339575,1.269210492,3.50025
2107,5903.0,1604.489411,1.165621596,22.900000000000002
2108,5762.0,707.8143136,0.535284378,18.732000000000003
2109,6338.0,2083.875275,1.318293529,8.717
2110,6034.11,1481.961011,1.085741299,24.216500000000003
2111,6280.95,1511.421786,0.453310655,22.04
2112,6709.0,1836.181639,1.658103405,3.1037500000000002
2113,6328.71,1935.673435,1.00787745,6.90625
2114,6067.0,2054.35074,0.780453573,12.860000000000001
2115,5845.0,1594.692141,1.180248325,3.894
2116,7872.0,1778.418852,1.5606574,15.01125
2117,5874.0,1543.024515,1.070816379,37.05625
2118,5508.0,957.2103394,0.78204878,28.543875
2119,5656.0,1272.597262,1.416800473,11.456
2120,5900.27,1628.837324,1.549319992,3.2216249999999995
2121,6338.17,2472.169224,0.786129819,4.056625
2122,3654.0,818.5381175,0.356690505,8.040000000000001
2123,5706.51,1862.02748,1.095537749,9.889000000000001
2124,6151.0,725.4228816,0.506173232,31.188000000000002
2125,5386.0,1445.414261,0.46746528,14.811750000000002
2126,5019.04,966.1490637,1.059274196,13.756500000000003
2127,6062.14,946.6616497,0.440314945,54.35012499999999
2128,3514.0,754.6417162,0.095739763,5.604375
2129,6786.0,1628.614605,1.602101,3.153125
2130,3628.0,597.8313553,0.537164521,5.4225
2131,5429.0,1147.736413,1.005915017,14.281625
2132,6077.0,1782.322734,1.230377095,16.826
2133,6594.0,1445.829754,1.049920867,4.8454999999999995
2134,5805.0,925.761852,0.539413341,43.586375
2135,5058.0,1086.562058,0.347210497,12.098824
2136,6887.55,1566.558702,1.78279166,10.00057575
2137,5639.5,596.9957082,0.833809764,69.94355275000001
2138,3997.0,396.3520219,0.262620491,19.861433025000004
2139,4571.0,785.8635031,0.238715362,25.745
2140,4947.0,487.6796191,0.87409022,49.231448775000004
2141,4092.4,494.7763257,0.29183058,34.85
2142,5733.0,1191.898521,1.520636242,13.8355
2143,5707.48,1359.006072,1.138600216,3.22375
2144,5465.0,829.9977592,0.449566341,112.183
2145,6331.0,1796.070601,1.248949369,3.53925
2146,4119.0,725.1166685,0.438811809,16.569
2147,6246.0,1640.632033,0.594643661,74.363625
2148,6413.0,1148.535676,0.673731713,34.366499999999995
2149,5594.0,814.4943297,0.849498733,48.68025000000001
2150,5839.47,696.4870768,0.739265313,65.208
2151,4898.85,1121.577457,1.179857403,1.49
2152,5342.0,708.8269872,0.368516883,23.94375
2153,5299.0,1340.952613,0.331257984,11.36975
2154,5600.0,823.1196821,0.619345112,26.197073375000002
2155,5405.0,1099.097074,0.386853204,24.475
2156,5259.85,915.5872487,0.639117635,10.527375
2157,5620.52,1285.307007,0.683408112,40.00300000000001
2158,5999.32,2099.677628,0.590389652,26.842999999999996
2159,5935.25,1308.699616,1.056656119,6.6831249999999995
2160,5676.0,1454.047751,1.419770531,7.0696249999999985
2161,6065.82,1783.511542,2.344280022,1.9614859999999998
2162,5318.43,1198.059949,0.518739537,17.535
2163,5149.0,1170.572494,0.494346185,24.186750000000004
2164,5436.0,1572.1741,0.96237346,31.73625
2165,5686.0,1461.821763,0.401095329,60.59287500000001
2166,5900.0,1759.767443,1.161867086,10.988999999999997
2167,6242.0,1047.187988,1.542405702,7.949375
2168,6152.0,2213.150833,1.756920948,0.426875
2169,4974.0,1610.113026,0.962043778,1.4749999999999999
2170,5644.0,1789.193048,1.49619495,0.195125
2171,5407.53,1318.446909,1.519225825,1.7794999999999999
2172,4802.98,1056.59361,0.785217629,3.077
2173,5657.33,1325.36971,0.607264195,30.836000000000006
2174,5250.0,1523.123434,1.150618403,0.7730000000000001
2175,4305.3,949.0024541,1.139446924,0.06325
2176,6236.0,1782.831888,0.397638118,24.9125
2177,5856.0,929.7268026,0.305941107,43.15975
2178,4425.78,2346.426467,0.32466575,2.6709292499999995
2179,3421.0,755.6496451,0.115775416,14.724481274999999
2180,4911.0,397.324434,0.628411841,89.77392031250001
2181,4645.0,763.9351134,0.219006932,6.798355462499998
2182,3222.0,528.3651122,0.069565585,4.213882
2183,5250.0,872.7879139,0.79436344,5.1175
2184,3466.0,1080.26304,0.117174197,5.4027048
